group_col,month,count,mean,std,min,0%,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%,max
月度周储钱罐,2025-02-01,28.0,0.16677116938584224,0.17358974659845217,0.027777777777777776,0.027777777777777776,0.04679513184584179,0.061714285714285715,0.0815891472868217,0.08962868117797695,0.1053620218579235,0.12931276297335204,0.14817167226204517,0.18192148760330581,0.48374065554916623,0.7065217391304348,0.7065217391304348
月度周储钱罐,2025-03-01,31.0,0.1740731323613096,0.16418759783537631,0.03409090909090909,0.03409090909090909,0.05454545454545454,0.0641025641025641,0.08181818181818182,0.10309278350515463,0.11009174311926606,0.13793103448275865,0.16363636363636364,0.1836734693877551,0.5,0.5904761904761905,0.5904761904761905
月度周储钱罐,2025-04-01,30.0,0.1777608727056462,0.1702691946024025,0.015748031496062992,0.015748031496062992,0.03225360898235609,0.054613935969868174,0.07576354679802957,0.09166558986949219,0.13306781045751634,0.15521380345086272,0.172088285229202,0.2513779210314263,0.48522423522423536,0.6086956521739131,0.6086956521739131
月度活动,2024-08-01,3.0,0.15823774765380605,0.06086562422329152,0.1,0.1,0.11065693430656935,0.1213138686131387,0.13197080291970803,0.1426277372262774,0.15328467153284672,0.16691345151199166,0.1805422314911366,0.19417101147028154,0.20779979144942648,0.22142857142857142,0.22142857142857142
月度活动,2024-09-01,30.0,0.04408909549801287,0.02341330943790876,0.005434782608695652,0.005434782608695652,0.014799154334038056,0.02060008054772453,0.02911877394636016,0.03721565059144677,0.0459830866807611,0.05027649769585254,0.06017995100810251,0.0637130484843934,0.06874442733241469,0.09497206703910614,0.09497206703910614
月度活动,2024-10-01,31.0,0.04213603379719177,0.02675654721115757,0.006329113924050633,0.006329113924050633,0.012987012987012988,0.019736842105263157,0.02409638554216868,0.030456852791878174,0.03870967741935484,0.04430379746835445,0.05747126436781609,0.06097560975609756,0.07534246575342465,0.12030075187969924,0.12030075187969924
月度活动,2024-11-01,30.0,0.040147952557875795,0.01995562036191017,0.008064516129032258,0.008064516129032258,0.017212156633547634,0.019153595738384138,0.026437783199721156,0.030788457168825265,0.03943861402632017,0.043742917273757495,0.05030612244897959,0.05821631878557875,0.06884383561643835,0.08,0.08
月度活动,2024-12-01,31.0,0.04081783056443507,0.022130033637133614,0.007407407407407408,0.007407407407407408,0.013513513513513514,0.022058823529411766,0.026845637583892624,0.03571428571428571,0.03968253968253968,0.045454545454545456,0.0472972972972973,0.056,0.06611570247933884,0.10666666666666667,0.10666666666666667
月度活动,2025-01-01,30.0,0.041955779889996894,0.029235738027732938,0.006172839506172839,0.006172839506172839,0.013793103448275862,0.016267187305279776,0.028839053739915223,0.030927835051546393,0.03556187766714082,0.03807433421129646,0.046014557074383095,0.05330726621049205,0.08395048082237208,0.125,0.125
月度活动,2025-02-01,25.0,0.039887066485708236,0.026287034696894526,0.008264462809917356,0.008264462809917356,0.00976923076923077,0.012750000000000003,0.021014492753623187,0.02736610418195158,0.0364963503649635,0.042918586789554534,0.05868673050615595,0.0663253978043666,0.0729966002914036,0.0945945945945946,0.0945945945945946
月度活动,2025-03-01,28.0,0.0484324723802379,0.028640332994977317,0.007518796992481203,0.007518796992481203,0.015583003952569171,0.023881925387525035,0.036068796068796066,0.037779665817048995,0.041069320290099506,0.043573667711598756,0.06103424420615704,0.07988411395461131,0.08779264214046822,0.10606060606060606,0.10606060606060606
月度活动,2025-04-01,30.0,0.03149325660146033,0.017558942852131942,0.008064516129032258,0.008064516129032258,0.011268392624324828,0.013556306706991638,0.022529069767441862,0.025363693864642635,0.03153750518027352,0.03457219251336899,0.03943285179240235,0.04240465416936006,0.05135314995563443,0.08256880733944955,0.08256880733944955
月次祭礼包,2024-06-01,10.0,0.3403176052832987,0.09569601159562789,0.2127659574468085,0.2127659574468085,0.24369038884812913,0.2572174951485296,0.26409229068803536,0.3000337723741979,0.328042328042328,0.3627118644067797,0.41207134410721324,0.4255954897815363,0.43727272727272726,0.5,0.5
月次祭礼包,2024-07-01,8.0,0.2891169173410285,0.09381251492662,0.14358974358974358,0.14358974358974358,0.18999050332383666,0.21666666666666667,0.23087474120082818,0.2590349666436623,0.2903451063986181,0.32006996390160397,0.34268170146254323,0.37836477987421385,0.4018045112781955,0.40601503759398494,0.40601503759398494
月次祭礼包,2024-08-01,7.0,0.2583362079973485,0.09237891719165317,0.16371681415929204,0.16371681415929204,0.18420330320382378,0.20123355532954956,0.21135133361766348,0.21857794557181062,0.22435897435897437,0.22681255526083113,0.25883224032155694,0.3499841337000213,0.3877714206934583,0.398876404494382,0.398876404494382
